label,h1,h2,h3,h4,h5,h6,h7
8,0.0011088289644753193,3.755988680497864e-08,1.8047911596241648e-11,4.8509736931797646e-11,1.1614250811807598e-21,9.316661793714801e-15,-8.433933388749657e-22
8,0.0011946795038645561,1.4472408874053266e-07,6.684142361244163e-13,7.097542764560258e-12,-9.608088772725481e-24,2.705237400893819e-16,-1.2110703359761812e-23
8,0.0009483181435715323,7.118193737423033e-08,1.0544036324951052e-12,1.7697984533712014e-13,3.677089755605697e-27,4.7023549257022154e-17,7.636357590352246e-26
8,0.0019491565435733888,3.8359451673791846e-07,2.2973630749107228e-10,2.9497920338104234e-10,-9.350030296205608e-21,8.339643249866605e-15,7.621814948129604e-20
8,0.0011458602665104602,1.2319170619997956e-07,1.2679168213982609e-11,5.574937515971527e-11,1.4556842291486797e-21,1.5041331539620755e-14,2.7908043636355446e-22
8,0.0012256689666251903,2.2681377533736246e-07,5.167383213495028e-12,3.276211998138438e-11,1.3992487690769186e-22,1.5173141709739576e-14,4.026590435863281e-22
8,0.0012218393909082434,1.8742555010929365e-07,3.06606889160162e-11,4.842902335207203e-11,1.767946146081419e-21,2.0917877270268752e-14,-5.974361094170444e-22
8,0.0013499272093845406,1.1656231179621262e-07,8.548330956208993e-11,6.564621405336505e-11,3.9931650129040755e-21,2.2411577075233282e-14,-2.8701297234934373e-21
8,0.0010868161951445205,4.642514372566649e-08,2.7278638500403523e-11,2.09127232510691e-11,-4.857172823960281e-22,-3.629645023139713e-16,-1.1648810619288768e-22
8,0.0012946868808621668,3.8704873533518553e-07,1.1593226144920882e-11,1.1291926770008995e-11,8.815905424858166e-23,-4.70809985840497e-15,9.444567028306173e-23
8,0.0008882479549451371,7.213498594204117e-08,7.826307429210087e-12,4.776130796455078e-12,-2.3441028181131947e-24,-8.147442247639641e-16,2.910642756689037e-23
9,0.0010166480821936388,9.831880616634349e-08,2.132491488922437e-11,2.4401201357453393e-11,4.6761761391547525e-22,6.839110130073329e-15,3.019303878885971e-22
9,0.0012814057465919322,1.1441222852303463e-07,1.888566198368537e-10,5.599763195965956e-11,5.6971501944451654e-21,1.8910255502386392e-14,-8.3935483704464415e-22
9,0.0011739930488060646,2.4886507262278854e-07,1.1794181721054323e-10,9.244020586737992e-11,6.882882400703184e-21,3.2014473754941417e-14,-6.7668637310541306e-21
9,0.001192586505725024,1.6380522868212104e-07,1.4205629744122663e-11,4.075070183356508e-11,6.579239426407358e-22,1.4111185181569203e-14,7.26946488834905e-22
9,0.0009947068153682783,1.069998843220411e-07,9.582569955586012e-12,1.0363461318125443e-11,7.753742343556074e-23,2.8406122148352703e-15,6.821893425766539e-23
9,0.00133790427987398,5.355602127166549e-07,1.266238714837112e-10,1.969863361395963e-11,4.350397189888837e-22,5.4494603965505234e-15,8.823977257805562e-22
9,0.001359602429116221,5.720452844100486e-07,1.3493465477376812e-10,1.0924069480106819e-10,1.2916300375050401e-20,8.178425767972735e-14,3.0122499303731323e-21
9,0.0017456408807402378,1.2608588672756739e-07,4.045887288854064e-10,1.7158442442263605e-10,4.520617887221796e-20,5.830419580067317e-14,-4.93572279096291e-22
9,0.0014177244039358435,2.6781471103475773e-08,2.8716346831006826e-11,3.208938660451755e-11,6.939430539911882e-22,2.5284516322465205e-15,6.836137225601079e-22
9,0.0011467738406505503,1.0654390802284795e-07,5.315328674379747e-11,7.812345001006438e-11,4.982434717930679e-21,2.549247070933791e-14,7.206233131405822e-22
9,0.0015939440607781502,2.3068531735510164e-07,4.889516094809769e-10,4.659331657653707e-10,1.7397736994034866e-19,1.8454135215888012e-13,-1.3852760789935342e-19
9,0.0010775625622102534,2.0203726968296306e-07,3.418174628842539e-11,3.606966085810181e-11,1.219073660936499e-21,1.414258354078028e-14,3.4339295610346415e-22
9,0.001050824438247641,1.2871194617742426e-08,2.936225660194805e-11,1.4999277724338998e-11,-2.941066821310979e-22,5.879871487550122e-16,-1.1218093014178359e-22
9,0.00117840080410537,3.421384546630875e-08,1.1493879387033672e-10,1.1699931184041534e-11,4.282321818699661e-22,1.9148792702483825e-15,-2.6484271786454263e-23
9,0.0009623871912988657,7.502857664728e-09,1.0613667897187884e-11,3.5326148836506825e-12,-1.650158137217048e-23,1.926582141726505e-16,-1.398568009213336e-23
9,0.0014866397112198325,9.132173795629831e-07,1.3779052635996884e-10,3.0389557886328345e-10,5.880610026990252e-20,2.773287432400393e-13,2.0223892102388056e-20
9,0.0014791719719332748,3.1959980079345874e-07,2.5203205627271163e-10,2.4573548627283944e-10,5.70139593648017e-20,1.3509639943729367e-13,-2.212020503256087e-20
9,0.0013340796261874805,4.105287348066608e-07,1.7317198126585842e-10,1.8082392532040736e-10,3.199731590203686e-20,1.1584766741578617e-13,2.0717138713332914e-22
9,0.0011896698280148808,9.282118872599361e-08,1.0278426184938614e-10,2.6148676638238065e-11,1.2066505009444797e-21,6.829263542960364e-15,-6.178182843806965e-22
9,0.00113091566121621,9.35740291574963e-09,1.0133833110356891e-10,2.3416832157333968e-11,9.666224305407243e-22,9.691392745494669e-16,-6.057089979662123e-22
9,0.0011370425309968997,1.3314980868494466e-07,1.0224638196714524e-10,9.161699438632398e-11,8.537854033279595e-21,3.3390929114500485e-14,2.3943346849479605e-21
9,0.0009207518242753818,2.2587074685807455e-08,1.734405494993889e-11,1.9041006526161856e-12,6.694862398310454e-24,2.372820789880636e-16,-8.655264560167824e-24
9,0.0009284258816687325,6.54737849896576e-09,1.54434800749488e-11,6.176136034875742e-12,5.887577854254996e-23,4.86875619566321e-16,1.3111805927475656e-23
